,Unnamed: 0,name,lng,lat,geometry,x,y
0,0,阿克苏地区,80.260604,41.168779,POINT (8934569.568040576 5037268.492603978),8934569.568040576,5037268.492603978
1,1,和田地区,79.922211,37.114157,POINT (8896899.831592567 4455030.768475429),8896899.831592567,4455030.768475429
2,2,上海,121.480237,31.236305,POINT (13523118.124286192 3663476.0213721325),13523118.124286192,3663476.0213721325
3,3,东莞,113.758231,23.026997,POINT (12663508.348463587 2635283.79471456),12663508.348463587,2635283.79471456
4,4,东营,118.588614,37.454925,POINT (13201224.124360075 4502708.595383854),13201224.124360075,4502708.595383854
5,5,中山,113.399023,22.522262,POINT (12623521.496814718 2574345.64151821),12623521.496814718,2574345.64151821
6,6,临汾,111.526153,36.094052,POINT (12415034.56209272 4313570.511332772),12415034.56209272,4313570.511332772
7,7,临沂,118.36299,35.110531,POINT (13176107.775569333 4178912.0288659087),13176107.775569333,4178912.0288659087
8,8,丹东,124.362564,40.00569,POINT (13843977.298225896 4866769.16925071),13843977.298225896,4866769.16925071
9,9,丽水,119.929503,28.472979,POINT (13350491.205050373 3308737.556151745),13350491.205050373,3308737.556151745
10,10,乌鲁木齐,87.623314,43.832806,POINT (9754182.69609912 5439604.87732893),9754182.69609912,5439604.87732893
11,11,佛山,113.128432,23.027707,POINT (12593399.444481475 2635369.6746164383),12593399.444481475,2635369.6746164383
12,12,保定,115.471052,38.880055,POINT (12854178.710003614 4704505.01449473),12854178.710003614,4704505.01449473
13,13,兰州,103.840692,36.067312,POINT (11559492.957061157 4309887.3566414155),11559492.957061157,4309887.3566414155
14,14,包头,109.846755,40.663636,POINT (12228084.831893478 4962853.934626522),12228084.831893478,4962853.934626522
15,15,北京,116.413554,39.911013,POINT (12959097.552715257 4853019.344863748),12959097.552715257,4853019.344863748
16,16,北海,109.126614,21.486955,POINT (12147919.10247412 2450038.3927979986),12147919.10247412,2450038.3927979986
17,17,南京,118.802891,32.064735,POINT (13225077.330888784 3771811.104676621),13225077.330888784,3771811.104676621
18,18,南宁,108.373351,22.823037,POINT (12064066.248880705 2610631.938458608),12064066.248880705,2610631.938458608
19,19,南昌,115.864528,28.687675,POINT (12897980.257962989 3335953.8011265416),12897980.257962989,3335953.8011265416
20,20,南通,120.900301,31.985237,POINT (13458559.944073504 3761372.9099523616),13458559.944073504,3761372.9099523616
21,21,厦门,118.095915,24.485821,POINT (13146377.12256572 2812720.2518122075),13146377.12256572,2812720.2518122075
22,22,台州,121.426996,28.662297,POINT (13517191.363276867 3332733.8232279033),13517191.363276867,3332733.8232279033
23,23,合肥,117.235447,31.82687,POINT (13050590.26296181 3740606.018005195),13050590.26296181,3740606.018005195
24,24,呼和浩特,111.758518,40.847461,POINT (12440901.315570898 4989868.164926695),12440901.315570898,4989868.164926695
25,25,咸阳,108.715712,34.335599,POINT (12102177.70106818 4073954.283557397),12102177.70106818,4073954.283557397
26,26,哈尔滨,126.542417,45.807782,POINT (14086637.424190085 5749599.475366475),14086637.424190085,5749599.475366475
27,27,唐山,118.187036,39.636673,POINT (13156520.665886294 4813284.208958741),13156520.665886294,4813284.208958741
28,28,嘉兴,120.762045,30.750912,POINT (13443169.35655439 3600442.400561465),13443169.35655439,3600442.400561465
29,29,大同,113.306446,40.082539,POINT (12613215.872315548 4877943.881351884),12613215.872315548,4877943.881351884
30,30,大连,121.621391,38.919345,POINT (13538831.315689625 4710125.011947077),13538831.315689625,4710125.011947077
31,31,天津,117.205914,39.090908,POINT (13047302.664440215 4734701.741654188),13047302.664440215,4734701.741654188
32,32,太原,112.55706,37.876885,POINT (12529794.604387943 4562048.361622692),12529794.604387943,4562048.361622692
33,33,威海,122.128245,37.519322,POINT (13595254.04487616 4511742.913245856),13595254.04487616,4511742.913245856
34,34,宁波,121.556686,29.880177,POINT (13531628.388037845 3488156.9937906587),13531628.388037845,3488156.9937906587
35,35,宝鸡,107.243899,34.367747,POINT (11938336.227365261 4078289.002038199),11938336.227365261,4078289.002038199
36,36,宿迁,118.282062,33.967686,POINT (13167098.911818415 4024463.870299602),13167098.911818415,4024463.870299602
37,37,常州,119.980142,31.816791,POINT (13356128.312744655 3739285.552067615),13356128.312744655,3739285.552067615
38,38,广州,113.270793,23.135308,POINT (12609246.998510296 2648390.0734981587),12609246.998510296,2648390.0734981587
39,39,廊坊,116.69034,39.54352,POINT (12989909.229293965 4799827.899291987),12989909.229293965,4799827.899291987
40,40,延安,109.496361,36.591003,POINT (12189079.15023646 4382250.180470861),12189079.15023646,4382250.180470861
41,41,张家口,114.894165,40.830172,POINT (12789959.942918355 4987324.252317771),12789959.942918355,4987324.252317771
