,name,lng,lat,geometry,x,y
0,北京市,116.407387,39.904179,POINT (12958411.045415534 4852027.587423492),12958411.05,4852027.587
1,天津市,117.201509,39.085318,POINT (13046812.302083269 4733900.022760519),13046812.3,4733900.023
2,石家庄市,114.514976,38.042007,POINT (12747748.816523945 4585361.693872178),12747748.82,4585361.694
3,唐山市,118.180149,39.63068,POINT (13155754.0085532 4812417.952111211),13155754.01,4812417.952
4,秦皇岛市,119.52022,39.888243,POINT (13304930.029900031 4849715.322152101),13304930.03,4849715.322
5,邯郸市,114.53915,36.625849,POINT (12750439.85389438 4387082.490390472),12750439.85,4387082.49
6,邢台市,114.49742,37.060227,POINT (12745794.491543578 4447504.982469675),12745794.49,4447504.982
7,保定市,115.464523,38.874476,POINT (12853451.905048223 4703707.252624396),12853451.91,4703707.253
8,张家口市,114.885895,40.768931,POINT (12789039.330729494 4978318.550589228),12789039.33,4978318.551
9,承德市,117.962749,40.952942,POINT (13131553.15125474 5005403.095445802),13131553.15,5005403.095
10,沧州市,116.838715,38.304676,POINT (13006426.258740414 4622556.172860209),13006426.26,4622556.173
11,廊坊市,116.683546,39.538304,POINT (12989152.924673514 4799074.962433505),12989152.92,4799074.962
12,衡水市,115.668987,37.739367,POINT (12876212.73341378 4542672.256894306),12876212.73,4542672.257
13,太原市,112.549656,37.870451,POINT (12528970.394878106 4561141.014056403),12528970.39,4561141.014
14,大同市,113.366749,40.09711,POINT (12619928.771568855 4880064.091082936),12619928.77,4880064.091
15,阳泉市,113.580426,37.857094,POINT (12643715.18640309 4559257.61120121),12643715.19,4559257.611
16,长治市,113.117394,36.195142,POINT (12592170.6999421 4327505.939109451),12592170.7,4327505.939
17,晋城市,112.852022,35.491315,POINT (12562629.624031307 4230850.9681227235),12562629.62,4230850.968
18,朔州市,112.432906,39.331734,POINT (12515973.844327994 4769301.633017048),12515973.84,4769301.633
19,晋中市,112.752633,37.688006,POINT (12551565.691160854 4535444.796529019),12551565.69,4535444.797
20,运城市,111.007051,35.02667,POINT (12357248.39178295 4167506.081438269),12357248.39,4167506.081
21,忻州市,112.734149,38.415958,POINT (12549508.061693031 4638354.526493876),12549508.06,4638354.526
22,临汾市,111.51931,36.088581,POINT (12414272.802817222 4312816.836499022),12414272.8,4312816.836
23,吕梁市,111.14454,37.518996,POINT (12372553.597252626 4511697.158765384),12372553.6,4511697.159
24,呼和浩特市,111.748814,40.842127,POINT (12439821.07123224 4989083.246565633),12439821.07,4989083.247
25,包头市,109.95315,40.621327,POINT (12239928.669116426 4956646.913752164),12239928.67,4956646.914
26,乌海市,106.79415,39.655048,POINT (11888270.397700477 4815940.687204711),11888270.4,4815940.687
27,赤峰市,118.887613,42.256876,POINT (13234508.540787771 5199536.22804027),13234508.54,5199536.228
28,通辽市,122.243309,43.653566,POINT (13608062.910764797 5411986.310476445),13608062.91,5411986.31
29,鄂尔多斯市,109.782473,39.608744,POINT (12220928.992386304 4809247.857695476),12220928.99,4809247.858
30,呼伦贝尔市,119.77845,49.166536,POINT (13333676.06200758 6303166.456441772),13333676.06,6303166.456
31,巴彦淖尔市,107.387767,40.742987,POINT (11954351.539866706 4974505.898413407),11954351.54,4974505.898
32,乌兰察布市,113.132227,40.994526,POINT (12593821.901949035 5011534.283622356),12593821.9,5011534.284
33,兴安盟,122.037796,46.082373,POINT (13585185.308253398 5793559.391636534),13585185.31,5793559.392
34,锡林郭勒盟,116.047387,43.933212,POINT (12918336.028729955 5455112.397067034),12918336.03,5455112.397
35,阿拉善盟,105.729135,38.851554,POINT (11769713.47021328 4700430.207947354),11769713.47,4700430.208
36,沈阳市,123.464675,41.677576,POINT (13744024.751957012 5112803.586847104),13744024.75,5112803.587
37,大连市,121.614786,38.913962,POINT (13538096.050452935 4709354.8497965885),13538096.05,4709354.85
38,鞍山市,122.994183,41.108239,POINT (13691649.822094705 5028320.024515638),13691649.82,5028320.025
39,抚顺市,123.957053,41.881311,POINT (13798836.020194823 5143216.954911046),13798836.02,5143216.955
40,本溪市,123.684984,41.486834,POINT (13768549.43765419 5084416.94687375),13768549.44,5084416.947
41,丹东市,124.354419,40.000646,POINT (13843070.600973383 4866036.154906715),13843070.6,4866036.155
42,锦州市,121.126859,41.096114,POINT (13483780.265268644 5026528.8101642225),13483780.27,5026528.81
43,营口市,122.219148,40.625027,POINT (13605373.320547739 4957189.572218965),13605373.32,4957189.572
44,阜新市,121.670052,42.022028,POINT (13544248.233431116 5164279.702959758),13544248.23,5164279.703
45,辽阳市,123.239669,41.267396,POINT (13718977.198611584 5051862.877726088),13718977.2,5051862.878
46,盘锦市,122.170729,40.71956,POINT (13599983.342123019 4971064.414557501),13599983.34,4971064.415
47,铁岭市,123.726008,42.223709,POINT (13773116.208444493 5194549.095894742),13773116.21,5194549.096
48,朝阳市,120.488801,41.601855,POINT (13412751.973612072 5101524.583058673),13412751.97,5101524.583
49,葫芦岛市,120.836783,40.710974,POINT (13451489.152657295 4969803.413377101),13451489.15,4969803.413
50,长春市,125.323643,43.816996,POINT (13950964.123118002 5437165.431278679),13950964.12,5437165.431
51,吉林市,126.549719,43.838132,POINT (14087450.279111857 5440426.812197389),14087450.28,5440426.812
52,四平市,124.350599,43.166764,POINT (13842645.360518554 5337389.573623573),13842645.36,5337389.574
53,辽源市,125.144676,42.887961,POINT (13931041.607809206 5294933.887386639),13931041.61,5294933.887
54,通化市,125.939721,41.728312,POINT (14019545.612366945 5120368.381787452),14019545.61,5120368.382
55,白山市,126.414274,41.944132,POINT (14072372.610681362 5152614.358865135),14072372.61,5152614.359
56,松原市,124.825321,45.14191,POINT (13895491.171826918 5643890.046832947),13895491.17,5643890.047
57,白城市,122.838102,45.620131,POINT (13674274.964652201 5719682.5200696895),13674274.96,5719682.52
58,延边朝鲜族自治州,129.470605,42.909426,POINT (14412601.82129706 5298195.706293974),14412601.82,5298195.706
59,哈尔滨市,126.53505,45.802981,POINT (14085817.333501412 5748832.804028012),14085817.33,5748832.804
60,齐齐哈尔市,123.918193,47.354892,POINT (13794510.144782597 6000195.094611062),13794510.14,6000195.095
61,鸡西市,130.969385,45.295087,POINT (14579445.2477082 5668097.142268683),14579445.25,5668097.142
62,鹤岗市,130.297687,47.350659,POINT (14504672.16838134 5999499.555698758),14504672.17,5999499.556
63,双鸭山市,131.141563,46.676157,POINT (14598612.014994003 5889373.923366786),14598612.01,5889373.923
64,大庆市,125.104078,46.589498,POINT (13926522.259121979 5875325.219973169),13926522.26,5875325.22
65,伊春市,128.840863,47.728332,POINT (14342499.262525922 6061777.375321071),14342499.26,6061777.375
66,佳木斯市,130.318916,46.800002,POINT (14507035.369851392 5909490.188912538),14507035.37,5909490.189
67,七台河市,131.003015,45.771178,POINT (14583188.92218358 5743755.8528056685),14583188.92,5743755.853
68,牡丹江市,129.632928,44.551486,POINT (14430671.535001095 5551186.354951955),14430671.54,5551186.355
69,黑河市,127.528226,50.244887,POINT (14196377.180089513 6488794.464937329),14196377.18,6488794.465
70,绥化市,126.968714,46.654147,POINT (14134092.589156788 5885803.645413955),14134092.59,5885803.645
71,大兴安岭地区,124.11786,50.41129,POINT (13816736.973550817 6517811.063920722),13816736.97,6517811.064
72,上海市,121.473667,31.230525,POINT (13522386.755231678 3662723.530141175),13522386.76,3662723.53
73,南京市,118.796624,32.059344,POINT (13224379.691639982 3771102.972612793),13224379.69,3771102.973
74,无锡市,120.311889,31.491064,POINT (13393058.21985685 3696688.7145926324),13393058.22,3696688.715
75,徐州市,117.283752,34.204224,POINT (13055967.55096458 4056257.395281723),13055967.55,4056257.395
76,常州市,119.974092,31.811313,POINT (13355454.829825355 3738567.930963029),13355454.83,3738567.931
77,苏州市,120.585294,31.299758,POINT (13423493.525237186 3671739.9209092734),13423493.53,3671739.921
78,南通市,120.894522,31.981269,POINT (13457916.62873621 3760852.14338402),13457916.63,3760852.143
79,连云港市,119.221487,34.596639,POINT (13271675.224456884 4109200.2071181824),13271675.22,4109200.207
80,淮安市,119.113166,33.551495,POINT (13259616.985894669 3968736.5828951267),13259616.99,3968736.583
81,盐城市,120.16263,33.348176,POINT (13376442.783980539 3941610.2194238883),13376442.78,3941610.219
82,扬州市,119.412834,32.394404,POINT (13292975.875061706 3815194.3571560048),13292975.88,3815194.357
83,镇江市,119.424441,32.188141,POINT (13294267.960391343 3788032.4731475287),13294267.96,3788032.473
84,泰州市,119.922883,32.456692,POINT (13349754.270021323 3823408.9763866807),13349754.27,3823408.976
