name,lng,lat
北京市,116.4011447,39.90277565
天津市,117.1952119,39.08431231
石家庄市,114.5090029,38.04138817
唐山市,118.1738708,39.62937201
秦皇岛市,119.514248,39.88701396
邯郸市,114.5334229,36.62577009
邢台市,114.4914859,37.05973475
保定市,115.4582042,38.87357544
张家口市,114.8797852,40.76764722
承德市,117.9564223,40.95136145
沧州市,116.8329248,38.30411744
廊坊市,116.6776308,39.53720313
衡水市,115.6631001,37.73872761
太原市,112.5433586,37.86992738
大同市,113.3595776,40.09579121
阳泉市,113.574024,37.85659103
长治市,113.11073,36.19497617
晋城市,112.8459135,35.49172968
朔州市,112.4260595,39.33057255
晋中市,112.7461408,37.68732529
运城市,111.0012384,35.02740769
忻州市,112.7275807,38.41537721
临汾市,111.5130932,36.08870515
吕梁市,111.1381777,37.51821906
呼和浩特市,111.7418961,40.84068016
包头市,109.9474639,40.62020975
乌海市,106.7893897,39.6541054
赤峰市,118.8814422,42.25494093
通辽市,122.2377562,43.65120414
鄂尔多斯市,109.776762,39.60772729
呼伦贝尔市,119.771145,49.1646069
巴彦淖尔市,107.382173,40.74153963
乌兰察布市,113.1249596,40.99275782
兴安盟,122.0316697,46.08040111
锡林郭勒盟,116.0405496,43.93102711
阿拉善盟,105.7248653,38.85098879
沈阳市,123.4586309,41.67522401
大连市,121.6098427,38.91318469
鞍山市,122.9886841,41.1063202
抚顺市,123.9512776,41.87915509
本溪市,123.679153,41.48470308
丹东市,124.3486477,39.99910056
锦州市,121.1212159,41.09406425
营口市,122.2139603,40.62347585
阜新市,121.6646434,42.01991762
辽阳市,123.2339329,41.26532931
盘锦市,122.1654142,40.71786678
铁岭市,123.7199971,42.22148208
朝阳市,120.4832685,41.59965834
葫芦岛市,120.8316077,40.70952493
长春市,125.3171363,43.81454428
吉林市,126.5440295,43.83587884
四平市,124.3443937,43.16418693
辽源市,125.1382808,42.88544305
通化市,125.934064,41.72614685
白山市,126.4084072,41.94161921
松原市,124.819034,45.13994034
白城市,122.832229,45.61822118
延边朝鲜族自治州,129.4635379,42.90684896
哈尔滨市,126.52901,45.80099936
齐齐哈尔市,123.9116429,47.35285251
鸡西市,130.9619287,45.29292245
鹤岗市,130.2898335,47.34821513
双鸭山市,131.1334116,46.67389089
大庆市,125.0970244,46.58739424
伊春市,128.8338097,47.72606495
佳木斯市,130.3111234,46.79778051
七台河市,130.9953112,45.76895374
牡丹江市,129.6258515,44.54951981
黑河市,127.5209429,50.24326368
绥化市,126.9623911,46.65224576
大兴安岭地区,124.1102398,50.40959993
上海市,121.4691438,31.23246711
南京市,118.7914401,32.06141907
无锡市,120.3072804,31.4929532
徐州市,117.2779994,34.2055149
常州市,119.9693417,31.81335379
苏州市,120.5811165,31.30194236
南通市,120.8903063,31.98343916
连云港市,119.2159551,34.59767379
淮安市,119.1075448,33.55277707
盐城市,120.1576841,33.34961253
扬州市,119.4073537,32.39628357
镇江市,119.4189943,32.1900185
泰州市,119.9181467,32.45891467
宿迁市,118.2697221,33.96453331
杭州市,120.206257,30.24845422
宁波市,121.620438,29.86287669
温州市,120.6952209,27.99713123
嘉兴市,120.7513035,30.74911367
湖州市,120.0820099,30.89622212
绍兴市,120.5788056,30.0541863
金华市,119.6425602,29.08217132
衢州市,118.8545122,28.97331428
舟山市,122.2032372,29.98798104
台州市,121.4163618,28.65866672
丽水市,119.9188441,28.47109948
合肥市,117.2217847,31.8225662
芜湖市,118.4276839,31.35446618
蚌埠市,117.3827191,32.91852576
淮南市,117.0131034,32.58739222
马鞍山市,118.5016711,31.67075666
淮北市,116.7929652,33.95769136
铜陵市,117.8059562,30.94750668
安庆市,117.1098423,30.5340931
黄山市,118.3324382,29.71728427
滁州市,118.3280123,32.25787662
阜阳市,115.8088814,32.89302995
宿州市,116.9588064,33.6492903
六安市,116.514647,31.73795761
亳州市,115.7730483,33.8477282
池州市,117.4902091,30.67663263
宣城市,118.754004,30.94149897
福州市,119.2916114,26.07738802
厦门市,118.0839329,24.48227394
莆田市,119.0029278,25.45698428
三明市,117.6340192,26.26687995
泉州市,118.6711772,24.87736027
漳州市,117.6425113,24.51827558
南平市,118.0761286,27.38588324
龙岩市,117.0124869,25.07864164
宁德市,119.5431465,26.66971697
南昌市,115.853071,28.68630573
景德镇市,117.1795857,29.27705135
萍乡市,113.8819093,27.66217241
九江市,115.9485992,29.66384123
新余市,114.9118188,27.82201117
鹰潭市,117.0343358,28.27528189
赣州市,114.9287692,25.83432297
吉安市,114.9619142,27.09467585
宜春市,114.4115214,27.81934789
抚州市,116.3530487,27.95211337
上饶市,117.938085,28.4585365
济南市,117.1140001,36.65163871
青岛市,120.3775319,36.06666176
淄博市,118.0489134,36.81326243
枣庄市,117.3178494,34.81165237
东营市,118.6689662,37.43331419
烟台市,121.4425478,37.46357969
潍坊市,119.1558385,36.70722393
济宁市,116.581825,35.41556486
泰安市,117.0808959,36.20153426
威海市,122.115462,37.51228259
日照市,119.5214215,35.41719958
临沂市,118.3507098,35.10416431
德州市,116.35334,37.43562257
聊城市,115.9795582,36.45577017
滨州市,117.9648275,37.38203742
菏泽市,115.4737951,35.23470144
郑州市,113.6193044,34.7474859
开封市,114.3084234,34.79896293
洛阳市,112.4476443,34.62072772
平顶山市,113.1863261,33.7679899
安阳市,114.3863901,36.098605
鹤壁市,114.2913757,35.74839753
新乡市,113.9208847,35.30417395
焦作市,113.2355373,35.21623793
濮阳市,115.0233556,35.76273451
许昌市,113.8461307,34.03887712
漯河市,114.0106749,33.58186766
三门峡市,111.1944884,34.7741834
南阳市,112.5227068,32.9922183
商丘市,115.6508492,34.41653095
信阳市,114.085171,32.1505687
周口市,114.6957389,33.63619922
驻马店市,114.0161046,33.015849
济源市,112.5964105,35.06992408
武汉市,114.2991253,30.59576481
黄石市,115.0336099,30.20350323
十堰市,110.7936018,32.63124796
宜昌市,111.2813014,30.69460826
襄阳市,112.1156613,32.01211749
鄂州市,114.8898681,30.39415688
荆门市,112.1931806,31.03765933
孝感市,113.9514382,30.92073233
荆州市,112.2357205,30.33883907
黄冈市,114.8673627,30.45638767
咸宁市,114.3171943,29.84381529
