,name,lng,lat,geometry,x,y
0,北京市,116.4011447,39.90277565,POINT (12957716.155758156 4851823.944003056),12957716.155758156,4851823.944003056
1,天津市,117.1952119,39.08431231,POINT (13046111.312117796 4733755.7932475135),13046111.312117796,4733755.7932475135
2,石家庄市,114.5090029,38.04138817,POINT (12747083.894073486 4585274.224190383),12747083.894073486,4585274.224190383
3,唐山市,118.1738708,39.62937201,POINT (13155055.1225261 4812228.8989649415),13155055.1225261,4812228.8989649415
4,秦皇岛市,119.514248,39.88701396,POINT (13304265.229901014 4849537.0145041635),13304265.229901014,4849537.0145041635
5,邯郸市,114.5334229,36.62577009,POINT (12749802.316038659 4387071.544986494),12749802.316038659,4387071.544986494
6,邢台市,114.4914859,37.05973475,POINT (12745133.910553262 4447436.314960547),12745133.910553262,4447436.314960547
7,保定市,115.4582042,38.87357544,POINT (12852748.499449799 4703578.484085335),12852748.499449799,4703578.484085335
8,张家口市,114.8797852,40.76764722,POINT (12788359.190904647 4978129.855145907),12788359.190904647,4978129.855145907
9,承德市,117.9564223,40.95136145,POINT (13130848.86623234 5005170.133718912),13130848.86623234,5005170.133718912
10,沧州市,116.8329248,38.30411744,POINT (13005781.696624823 4622476.937060353),13005781.696624823,4622476.937060353
11,廊坊市,116.6776308,39.53720313,POINT (12988494.447621573 4798916.057548346),12988494.447621573,4798916.057548346
12,衡水市,115.6631001,37.73872761,POINT (12875557.40670343 4542582.251866503),12875557.40670343,4542582.251866503
13,太原市,112.5433586,37.86992738,POINT (12528269.371516787 4561067.174625457),12528269.371516787,4561067.174625457
14,大同市,113.3595776,40.09579121,POINT (12619130.45497258 4879872.176758796),12619130.45497258,4879872.176758796
15,阳泉市,113.574024,37.85659103,POINT (12643002.519023031 4559186.696619666),12643002.519023031,4559186.696619666
16,长治市,113.11073,36.19497617,POINT (12591428.866855454 4327483.064445211),12591428.866855454,4327483.064445211
17,晋城市,112.8459135,35.49172968,POINT (12561949.628921796 4230907.664125244),12561949.628921796,4230907.664125244
18,朔州市,112.4260595,39.33057255,POINT (12515211.695434276 4769134.480153635),12515211.695434276,4769134.480153635
19,晋中市,112.7461408,37.68732529,POINT (12550842.982762726 4535349.041431567),12550842.982762726,4535349.041431567
20,运城市,111.0012384,35.02740769,POINT (12356601.336110765 4167606.3637110507),12356601.336110765,4167606.3637110507
21,忻州市,112.7275807,38.41537721,POINT (12548776.881881654 4638272.010473715),12548776.881881654,4638272.010473715
22,临汾市,111.5130932,36.08870515,POINT (12413580.751806857 4312833.938591524),12413580.751806857,4312833.938591524
23,吕梁市,111.1381777,37.51821906,POINT (12371845.349256352 4511588.115135519),12371845.349256352,4511588.115135519
24,呼和浩特市,111.7418961,40.84068016,POINT (12439050.974126883 4988870.349455131),12439050.974126883,4988870.349455131
25,包头市,109.9474639,40.62020975,POINT (12239295.695359828 4956483.058803518),12239295.695359828,4956483.058803518
26,乌海市,106.7893897,39.6541054,POINT (11887740.483528454 4815804.398111943),11887740.483528454,4815804.398111943
27,赤峰市,118.8814422,42.25494093,POINT (13233821.610473985 5199245.190602019),13233821.610473985,5199245.190602019
28,通辽市,122.2377562,43.65120414,POINT (13607444.77589632 5411622.929498538),13607444.77589632,5411622.929498538
29,鄂尔多斯市,109.776762,39.60772729,POINT (12220293.246774385 4809100.951588849),12220293.246774385,4809100.951588849
30,呼伦贝尔市,119.771145,49.1646069,POINT (13332862.873127334 6302838.03539467),13332862.873127334,6302838.03539467
31,巴彦淖尔市,107.382173,40.74153963,POINT (11953728.818635209 4974293.241080995),11953728.818635209,4974293.241080995
32,乌兰察布市,113.1249596,40.99275782,POINT (12593012.898681644 5011273.502630459),12593012.898681644,5011273.502630459
33,兴安盟,122.0316697,46.08040111,POINT (13584503.33165695 5793242.929064602),13584503.33165695,5793242.929064602
34,锡林郭勒盟,116.0405496,43.93102711,POINT (12917574.892843606 5454774.666463762),12917574.892843606,5454774.666463762
35,阿拉善盟,105.7248653,38.85098879,POINT (11769238.169383438 4700349.416020071),11769238.169383438,4700349.416020071
36,沈阳市,123.4586309,41.67522401,POINT (13743351.92582271 5112453.047178278),13743351.92582271,5112453.047178278
37,大连市,121.6098427,38.91318469,POINT (13537545.7648141 4709243.642522048),13537545.7648141,4709243.642522048
38,鞍山市,122.9886841,41.1063202,POINT (13691037.68734678 5028036.540047164),13691037.68734678,5028036.540047164
39,抚顺市,123.9512776,41.87915509,POINT (13798193.105607696 5142894.616030688),13798193.105607696,5142894.616030688
40,本溪市,123.679153,41.48470308,POINT (13767900.333703373 5084100.291545223),13767900.333703373,5084100.291545223
41,丹东市,124.3486477,39.99910056,POINT (13842428.142796168 4865811.576194424),13842428.142796168,4865811.576194424
42,锦州市,121.1212159,41.09406425,POINT (13483152.07825015 5026226.035281803),13483152.07825015,5026226.035281803
43,营口市,122.2139603,40.62347585,POINT (13604795.828425353 4956962.069997079),13604795.828425353,4956962.069997079
44,阜新市,121.6646434,42.01991762,POINT (13543646.150833212 5163963.474024062),13543646.150833212,5163963.474024062
45,辽阳市,123.2339329,41.26532931,POINT (13718338.658880442 5051556.80119359),13718338.658880442,5051556.80119359
46,盘锦市,122.1654142,40.71786678,POINT (13599391.701293353 4970815.723321611),13599391.701293353,4970815.723321611
47,铁岭市,123.7199971,42.22148208,POINT (13772447.078117283 5194214.34055024),13772447.078117283,5194214.34055024
48,朝阳市,120.4832685,41.59965834,POINT (13412136.098529257 5101197.577757354),13412136.098529257,5101197.577757354
49,葫芦岛市,120.8316077,40.70952493,POINT (13450913.040896596 4969590.608662316),13450913.040896596,4969590.608662316
50,长春市,125.3171363,43.81454428,POINT (13950239.80058726 5436787.194465185),13950239.80058726,5436787.194465185
51,吉林市,126.5440295,43.83587884,POINT (14086816.92686899 5440079.084362066),14086816.92686899,5440079.084362066
52,四平市,124.3443937,43.16418693,POINT (13841954.589682335 5336996.256375242),13841954.589682335,5336996.256375242
53,辽源市,125.1382808,42.88544305,POINT (13930329.697401684 5294551.3343920745),13930329.697401684,5294551.3343920745
54,通化市,125.934064,41.72614685,POINT (14018915.878007526 5120045.433500944),14018915.878007526,5120045.433500944
