Region Name,Region Data,Region Id
北京市,2300.24,0
天津市,1293.82,1
石家庄市,1016.38,2
唐山市,757.73,3
秦皇岛市,298.76,4
邯郸市,917.47,5
邢台市,710.41,6
保定市,1119.44,7
张家口市,434.55,8
承德市,347.32,9
沧州市,713.41,10
廊坊市,435.88,11
衡水市,434.08,12
太原市,420.16,13
大同市,331.81,14
阳泉市,136.85,15
长治市,333.46,16
晋城市,227.92,17
朔州市,171.49,18
晋中市,324.94,19
运城市,513.48,20
忻州市,306.75,21
临汾市,431.66,22
吕梁市,372.71,23
呼和浩特市,286.66,24
包头市,265.04,25
乌海市,53.29,26
赤峰市,434.12,27
通辽市,313.92,28
鄂尔多斯市,194.07,29
呼伦贝尔市,254.93,30
巴彦淖尔市,166.99,31
乌兰察布市,214.36,32
兴安盟,161.33,33
锡林郭勒盟,102.8,34
阿拉善盟,23.13,35
沈阳市,810.62,36
大连市,669.04,37
鞍山市,364.59,38
抚顺市,213.81,39
本溪市,170.95,40
丹东市,244.47,41
锦州市,312.65,42
营口市,242.85,43
阜新市,181.93,44
辽阳市,185.88,45
盘锦市,139.25,46
铁岭市,271.77,47
朝阳市,304.46,48
葫芦岛市,262.35,49
长春市,767.71,50
吉林市,441.47,51
四平市,338.63,52
辽源市,117.66,53
通化市,232.52,54
白山市,129.66,55
松原市,288.11,56
白城市,203.31,57
延边朝鲜族自治州,227.16,58
哈尔滨市,1063.6,59
齐齐哈尔市,536.7,60
鸡西市,186.22,61
鹤岗市,105.87,62
双鸭山市,146.26,63
大庆市,290.45,64
伊春市,114.81,65
佳木斯市,255.21,66
七台河市,92.04,67
牡丹江市,279.87,68
黑河市,167.39,69
绥化市,541.64,70
大兴安岭地区,51.16,71
上海市,2301.91,72
南京市,800.47,73
无锡市,637.26,74
徐州市,858.05,75
常州市,459.2,76
苏州市,1046.6,77
南通市,728.28,78
连云港市,439.39,79
淮安市,479.99,80
盐城市,726.02,81
扬州市,445.98,82
镇江市,311.34,83
泰州市,461.86,84
宿迁市,471.56,85
杭州市,870.04,86
宁波市,760.57,87
温州市,912.21,88
嘉兴市,450.17,89
湖州市,289.35,90
绍兴市,491.22,91
金华市,536.16,92
衢州市,212.27,93
舟山市,112.13,94
台州市,596.88,95
丽水市,211.7,96
合肥市,570.2,97
芜湖市,226.3,98
蚌埠市,316.4,99
淮南市,233.4,100
马鞍山市,136.6,101
淮北市,211.4,102
铜陵市,72.4,103
安庆市,531.1,104
黄山市,135.9,105
滁州市,393.8,106
阜阳市,760,107
宿州市,535.3,108
六安市,561.2,109
亳州市,485.1,110
池州市,140.3,111
宣城市,253.3,112
福州市,711.54,113
厦门市,353.13,114
莆田市,277.85,115
三明市,250.34,116
泉州市,812.85,117
漳州市,481,118
南平市,264.55,119
龙岩市,255.95,120
宁德市,282.2,121
南昌市,504.26,122
景德镇市,158.75,123
萍乡市,185.45,124
九江市,472.88,125
新余市,113.89,126
鹰潭市,112.49,127
赣州市,836.84,128
吉安市,481.03,129
宜春市,541.96,130
抚州市,391.23,131
上饶市,657.97,132
济南市,681.4,133
青岛市,871.51,134
淄博市,453.06,135
枣庄市,372.93,136
东营市,203.53,137
烟台市,696.82,138
潍坊市,908.62,139
济宁市,808.19,140
泰安市,549.42,141
威海市,280.48,142
日照市,280.11,143
临沂市,1003.94,144
德州市,556.82,145
聊城市,578.99,146
滨州市,374.85,147
菏泽市,828.78,148
郑州市,1013.6,149
开封市,467.62,150
洛阳市,654.95,151
平顶山市,490.44,152
安阳市,517.28,153
鹤壁市,156.91,154
新乡市,570.78,155
焦作市,353.99,156
濮阳市,359.85,157
许昌市,430.72,158
漯河市,254.41,159
三门峡市,223.39,160
南阳市,1026.3,161
商丘市,736.25,162
信阳市,610.87,163
周口市,895.32,164
驻马店市,723.07,165
济源市,67.57,166
武汉市,910,167
黄石市,242.93,168
十堰市,334.08,169
宜昌市,405.97,170
襄阳市,550.03,171
鄂州市,104.87,172
荆门市,287.37,173
孝感市,481.45,174
荆州市,569.17,175
黄冈市,616.21,176
咸宁市,246.26,177
随州市,216.22,178
恩施土家族苗族自治州,329.03,179
仙桃市,117.5,180
潜江市,94.62,181
天门市,141.89,182
神农架林区,7.61,183
长沙市,704.41,184
株洲市,385.56,185
湘潭市,374.86,186
衡阳市,714.15,187
邵阳市,707.18,188
岳阳市,547.79,189
常德市,571.72,190
张家界市,147.65,191
益阳市,431.31,192
郴州市,458.18,193
永州市,518.02,194
怀化市,474.19,195
娄底市,378.56,196
湘西土家族苗族自治州,254.95,197
广州市,1270.08,198
韶关市,282.66,199
深圳市,1035.79,200
珠海市,156.02,201
汕头市,539.1,202
佛山市,719.43,203
江门市,444.89,204
湛江市,699.33,205
茂名市,581.78,206
肇庆市,391.81,207
惠州市,459.7,208
梅州市,424.01,209
汕尾市,293.57,210
河源市,295.3,211
阳江市,242.18,212
清远市,369.84,213
东莞市,822.02,214
中山市,312.09,215
潮州市,266.98,216
揭阳市,587.7,217
云浮市,236.01,218
南宁市,666.16,219
柳州市,375.87,220
桂林市,474.8,221
梧州市,288.22,222
北海市,153.93,223
防城港市,86.69,224
钦州市,307.97,225
贵港市,411.88,226
玉林市,548.74,227
百色市,346.68,228
贺州市,195.41,229
河池市,336.92,230
来宾市,209.97,231
崇左市,199.43,232
海口市,204.62,233
三亚市,68.54,234
三沙市,49.05,235
儋州市,93.23,236
五指山市,104.11,237
琼海市,48.32,238
文昌市,53.74,239
万宁市,54.56,240
东方市,40.83,241
定安县,28.46,242
屯昌县,25.69,243
澄迈县,46.71,244
临高县,42.79,245
白沙黎族自治县,16.79,246
昌江黎族自治县,22.38,247
乐东黎族自治县,45.88,248
陵水黎族自治县,32.04,249
保亭黎族苗族自治县,14.67,250
琼中黎族苗族自治县,17.4,251
重庆市,3017.42,252
成都市,1404.76,253
自贡市,267.89,254
攀枝花市,121.41,255
泸州市,421.84,256
德阳市,361.58,257
绵阳市,461.39,258
广元市,248.41,259
遂宁市,325.26,260
内江市,370.28,261
乐山市,323.58,262
南充市,627.86,263
眉山市,295.05,264
宜宾市,447.2,265
广安市,320.55,266
达州市,546.81,267
雅安市,150.73,268
巴中市,328.38,269
资阳市,366.51,270
阿坝藏族羌族自治州,89.87,271
甘孜藏族自治州,109.19,272
凉山彝族自治州,453.28,273
贵阳市,432.46,274
六盘水市,285.12,275
遵义市,612.7,276
安顺市,229.73,277
毕节市,653.64,278
铜仁市,309.23,279
黔西南布依族苗族自治州,280.59,280
黔东南苗族侗族自治州,348.06,281
黔南布依族苗族自治州,323.11,282
昆明市,643.2,283
曲靖市,585.5,284
玉溪市,230.4,285
保山市,250.6,286
昭通市,521.3,287
丽江市,124.5,288
普洱市,254.3,289
临沧市,243,290
楚雄彝族自治州,268.4,291
红河哈尼族彝族自治州,450.1,292
文山壮族苗族自治州,351.8,293
西双版纳傣族自治州,113.4,294
大理白族自治州,345.6,295
德宏傣族景颇族自治州,121.1,296
怒江傈僳族自治州,53.4,297
迪庆藏族自治州,40,298
拉萨市,55.94,299
日喀则市,70.32,300
昌都市,65.75,301
林芝市,19.51,302
山南市,32.89,303
那曲市,46.23,304
阿里地区,9.55,305
西安市,1000.3,306
铜川市,83.44,307
宝鸡市,371.67,308
咸阳市,489.48,309
渭南市,528.61,310
延安市,218.7,311
汉中市,341.62,312
榆林市,335.14,313
安康市,262.99,314
商洛市,234.17,315
兰州市,361.62,316
嘉峪关市,23.19,317
金昌市,46.41,318
白银市,170.88,319
天水市,326.25,320
武威市,181.51,321
张掖市,119.95,322
平凉市,206.8,323
酒泉市,109.59,324
庆阳市,221.12,325
定西市,269.86,326
陇南市,256.77,327
临夏回族自治州,194.67,328
甘南藏族自治州,68.91,329
西宁市,220.87,330
海东市,139.68,331
海北藏族自治州,27.33,332
黄南藏族自治州,25.67,333
海南藏族自治州,44.16,334
果洛藏族自治州,18.16,335
玉树藏族自治州,37.84,336
海西蒙古族藏族自治州,48.93,337
银川市,199.31,338
石嘴山市,72.55,339
吴忠市,127.38,340
固原市,122.82,341
中卫市,108.08,342
乌鲁木齐市,311.03,343
克拉玛依市,39.1,344
吐鲁番市,62.26,345
哈密市,57.24,346
昌吉回族自治州,142.85,347
博尔塔拉蒙古自治州,44.36,348
巴音郭楞蒙古自治州,127.84,349
阿克苏地区,237.09,350
克孜勒苏柯尔克孜自治州,52.56,351
喀什地区,397.94,352
和田地区,201.44,353
伊犁哈萨克自治州,248.26,354
塔城地区,121.92,355
阿勒泰地区,60.33,356
石河子市,295.3,357
阿拉尔市,19.1,358
图木舒克市,14.26,359
五家渠市,9.64,360
铁门关市,10.47,361
北屯市,2.04,362
双河市,5.47,363
可克达拉市,6.95,364
昆玉市,6.34,365
台湾省,2316.21,366
香港特别行政区,709.76,367
澳门特别行政区,102.01,368
