population0,population5,population15,population25,population35,population45,population55,population65
0.14791362,0.08791362,0.14791359,0.25791357,0.36791355,0.497913527,0.607913506,0.707913486
0.08175028,0.04175029,0.14175027,0.25175026,0.36175025,0.491750237,0.601750225,0.701750213
0.574931,0.514931,0.47493102,0.58493101,0.694931,0.824930984,0.934930969,1.03493095
0.25283975,0.19283975,0.23283973,0.34283971,0.45283969,0.58283967,0.692839652,0.792839634
0.16512421,0.22512421,0.32512421,0.43512421,0.54512421,0.675124208,0.785124206,0.885124203
0.31363858,0.27363858,0.37363857,0.48363856,0.59363855,0.723638539,0.833638528,0.933638517
0.1631247,0.22312469,0.32312469,0.43312469,0.54312469,0.673124684,0.783124678,0.883124672
0.22398117,0.28398117,0.38398117,0.49398117,0.60398117,0.733981167,0.843981164,0.943981161
0.17238432,0.15238433,0.25238433,0.36238433,0.47238433,0.602384324,0.712384318,0.812384312
0.66077285,0.60077286,0.70077284,0.81077283,0.92077282,1.05077281,1.1607728,1.26077279
0.50121773,0.56121773,0.66121773,0.77121773,0.88121773,1.01121772,1.12121771,1.2212177
0.46655301,0.44655303,0.54655302,0.65655302,0.76655301,0.896553002,1.00655299,1.10655298
0.31019646,0.37019645,0.47019645,0.58019645,0.69019645,0.820196445,0.93019644,1.03019644
0.337019,0.397019,0.497019,0.607019,0.717019,0.847018997,0.957018994,1.05701899
0.79590761,0.73590762,0.71590764,0.82590763,0.93590762,1.06590761,1.1759076,1.27590759
0.77260919,0.71260919,0.67261001,0.78261,0.89260999,1.02260998,1.13260997,1.23260996
0.574931,0.55493093,0.65493092,0.76493091,0.8749309,1.00493089,1.11493088,1.21493087
0.50787465,0.56787465,0.66787465,0.77787465,0.88787465,1.01787464,1.12787463,1.22787462
1.0,1.06,1.16,1.27,1.38,1.51,1.62,1.72
0.37920117,0.43920117,0.53920117,0.64920117,0.75920117,0.889201164,0.999201158,1.09920115
0.05313038,0.11313038,0.21313038,0.32313038,0.43313038,0.563130376,0.673130372,0.773130368
0.23107891,0.2910789,0.3910789,0.5010789,0.61107889,0.741078883,0.851078876,0.951078869
0.64994317,0.70994317,0.80994317,0.91994317,1.02994317,1.15994317,1.26994317,1.36994317
0.28300049,0.34300049,0.44300049,0.55300049,0.66300049,0.793000485,0.90300048,1.00300048
0.35103101,0.41103101,0.51103101,0.62103101,0.73103101,0.861031007,0.971031004,1.071031
0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001
0.29128105,0.23128105,0.31128103,0.42128102,0.53128101,0.661281,0.77128099,0.871280981
0.17243221,0.23243221,0.33243221,0.44243221,0.55243221,0.682432209,0.792432208,0.892432207
0.0185095,0.0785095,0.1785095,0.2885095,0.3985095,0.528509499,0.638509498,0.738509497
0.02914434,0.08914434,0.18914434,0.29914434,0.40914434,0.539144336,0.649144332,0.749144327
0.18046761,0.12046761,0.02046761,0.01046761,0.01046761,0.01046761,0.01046761,0.01046761
