,name,lng,lat,geometry,x,y
0,北京市,116.4666667,39.9,POINT (12965010.031433914 4851421.175183357),12965010.031433914,4851421.175183357
1,上海市,121.4833333,31.23333333,POINT (13523462.802825533 3663089.1374881687),13523462.802825533,3663089.1374881687
2,天津市,117.1833333,39.15,POINT (13044788.992414458 4743180.617866743),13044788.992414458,4743180.617866743
3,重庆市,106.5333333,29.53333333,POINT (11859236.415466094 3443704.1338784834),11859236.415466094,3443704.1338784834
4,黑龙江省,126.6833333,45.75,POINT (14102324.154950557 5740376.655556496),14102324.154950557,5740376.655556496
5,吉林省,125.3166667,43.86666667,POINT (13950187.524954382 5444831.67475625),13950187.524954382,5444831.67475625
6,辽宁省,123.4,41.83333333,POINT (13736825.16388996 5136046.188008888),13736825.16388996,5136046.188008888
7,内蒙古自治区,111.8,40.81666667,POINT (12445519.070687985 4985337.53232671),12445519.070687985,4985337.53232671
8,河北省,114.4666667,38.03333333,POINT (12742371.049847366 4584135.765211927),12742371.049847366,4584135.765211927
9,山西省,112.5666667,37.86666667,POINT (12530864.017340144 4560607.370210092),12530864.017340144,4560607.370210092
10,山东省,117.0,36.63333333,POINT (13024380.422813008 4388120.673574817),13024380.422813008,4388120.673574817
11,河南省,113.7,34.8,POINT (12657026.103195205 4136735.0493974257),12657026.103195205,4136735.0493974257
12,陕西省,108.9,34.26666667,POINT (12122692.547387492 4064665.2966201007),12122692.547387492,4064665.2966201007
13,甘肃省,103.8166667,36.05,POINT (11556818.472899001 4307503.477764327),11556818.472899001,4307503.477764327
14,宁夏回族自治区,106.2666667,38.33333333,POINT (11829551.225342521 4626622.242690472),11829551.225342521,4626622.242690472
15,青海省,101.75,36.63333333,POINT (11326758.188215587 4388120.673574817),11326758.188215587,4388120.673574817
16,新疆维吾尔自治区,87.6,43.8,POINT (9751587.393490763 5434543.708480057),9751587.393490763,5434543.708480057
17,安徽省,117.3,31.85,POINT (13057776.27005099 3743636.8615809535),13057776.27005099,3743636.8615809535
18,江苏省,118.8333333,32.03333333,POINT (13228466.15222336 3767686.9404525715),13228466.15222336,3767686.9404525715
19,浙江省,120.15,30.23333333,POINT (13375036.81881182 3533578.065864014),13375036.81881182,3533578.065864014
20,湖南省,113.0,28.18333333,POINT (12579102.459639914 3272107.652595156),12579102.459639914,3272107.652595156
21,江西省,115.8666667,28.68333333,POINT (12898218.336957948 3335402.8717681137),12898218.336957948,3335402.8717681137
22,湖北省,114.35,30.61666667,POINT (12729383.772210833 3583065.4410147755),12729383.772210833,3583065.4410147755
23,四川省,104.0833333,30.65,POINT (11586503.663022576 3587377.914502121),11586503.663022576,3587377.914502121
24,贵州省,106.7,26.58333333,POINT (11877789.66764229 3071510.505818138),11877789.66764229,3071510.505818138
25,福建省,119.3,26.08333333,POINT (13280415.251637537 3009405.7993683936),13280415.251637537,3009405.7993683936
26,广东省,113.25,23.13333333,POINT (12606932.332338233 2648151.0320353224),12606932.332338233,2648151.0320353224
27,海南省,110.3333333,20.03333333,POINT (12282250.480480535 2276980.1358762733),12282250.480480535,2276980.1358762733
28,广西壮族自治区,108.3333333,22.8,POINT (12059611.498893987 2607849.8726871307),12059611.498893987,2607849.8726871307
29,云南省,102.6833333,25.0,POINT (11430656.375911992 2875744.624352243),11430656.375911992,2875744.624352243
30,西藏自治区,91.16666667,29.66666667,POINT (10148626.911024505 3460774.5094742957),10148626.911024505,3460774.5094742957
