population0,population12,population1,population2,population3,population4,population5,population6,population7,population8,population9,population10,population11,population13,population14
3188.0,3235.80000197,3185.8,3183.4,3200.89999995,3216.2999999,3230.29999982,3244.29999972,3258.2999995,3277.89999811,3266.69999979,3245.70000088,3244.60000105,3233.80000254,3228.90000322
1973.0,2027.59999835,1970.8,1968.4,1985.89999997,2001.29999993,2015.29999988,2029.29999981,2043.29999968,2064.29999879,2055.90000019,2034.90000153,2033.80000204,2027.59999707,2023.89999706
11148.0,11191.60000052,11145.8,11143.4,11160.89999996,11176.29999992,11190.29999986,11204.29999978,11218.2999996,11236.49999873,11222.50000015,11201.50000086,11200.40000003,11189.60000073,11184.70000103
5180.48,5216.88000265,5178.28,5175.88,5193.37999997,5208.77999992,5222.77999987,5236.77999979,5249.37999955,5252.17999982,5238.18000087,5218.58000174,5217.88000329,5217.08000264,5215.37999803
3600.0,3590.99999995,3602.2,3604.6,3615.09999871,3602.49999852,3589.89999873,3581.49999893,3580.09999961,3591.29999927,3591.29999886,3592.69999965,3592.8,3589.79999996,3589.49999995
6329.4,6370.20000646,6327.2,6324.8,6342.29999996,6357.6999999,6371.69999982,6385.69999972,6399.69999949,6416.50000015,6401.10000487,6380.10000587,6379.00000604,6368.20000662,6363.30000693
3575.37,3577.57002525,3573.17,3570.77000001,3586.86999794,3588.26999997,3591.06998594,3589.66997708,3589.66997952,3593.86997944,3593.86997904,3579.8699779,3579.36997809,3577.57002387,3573.27002397
4625.0,4713.89999313,4622.70000001,4620.30000003,4648.99999884,4664.39999801,4678.39999741,4692.39999679,4706.39999614,4727.3999948,4735.79998983,4720.3999918,4719.29999244,4712.89999362,4708.4000136
3689.43,3748.43000234,3687.23,3684.83,3702.32999997,3717.72999993,3731.72999988,3745.7299998,3759.72999968,3780.7299992,3779.3300009,3758.33000175,3757.23000203,3746.43000244,3741.53000263
12705.4,12761.60000033,12703.2,12700.8,12718.29999996,12733.69999992,12747.69999986,12761.69999978,12775.69999964,12796.69999902,12792.49999934,12771.50000008,12770.40000003,12759.60000043,12754.70000062
9740.0,9801.80000945,9737.8,9735.40000001,9752.89999996,9768.29999991,9782.29999985,9796.29999976,9810.2999996,9831.29999902,9832.7000078,9811.70000894,9810.60000904,9799.80000957,9794.90000982
9113.0,9169.19999826,9110.8,9108.4,9125.89999997,9141.29999993,9155.29999989,9169.29999982,9183.29999971,9204.29999922,9200.09999751,9179.09999809,9177.99999802,9167.19999833,9162.29999848
6187.0,6264.20000196,6184.8,6182.40000001,6199.89999997,6215.29999991,6229.29999984,6243.29999974,6257.29999958,6278.2999991,6292.29999867,6274.10000135,6273.00000106,6262.20000223,6257.30000272
